dt_coleta,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora,indice_qualidade_ar,classificacao,dado_validado
2025-07-04,2905701,29,BA,gravatá,24.0,84.0,1.0,5,CO,Monóxido de Carbono,2025-07-03 19:00,0.89,Boa,True
2025-07-04,2905701,29,BA,gravatá,24.0,84.0,1.0,5,CO,Monóxido de Carbono,2025-07-03 20:00,0.89,Boa,True
2025-07-04,2905701,29,BA,gravatá,24.0,84.0,1.0,5,CO,Monóxido de Carbono,2025-07-03 21:00,0.89,Boa,True
2025-07-04,2905701,29,BA,gravatá,24.0,84.0,1.0,5,CO,Monóxido de Carbono,2025-07-03 22:00,0.89,Boa,True
2025-07-04,2905701,29,BA,gravatá,24.0,84.0,1.0,5,CO,Monóxido de Carbono,2025-07-03 23:00,0.89,Boa,True
2025-07-04,2905701,29,BA,gravatá,24.0,84.0,1.0,5,CO,Monóxido de Carbono,2025-07-04 00:00,0.89,Boa,True
2025-07-04,2905701,29,BA,gravatá,24.0,84.0,1.0,5,CO,Monóxido de Carbono,2025-07-04 01:00,0.89,Boa,True
2025-07-04,2905701,29,BA,gravatá,24.0,84.0,1.0,5,CO,Monóxido de Carbono,2025-07-04 02:00,0.89,Boa,True
2025-07-04,2905701,29,BA,gravatá,24.0,84.0,1.0,5,CO,Monóxido de Carbono,2025-07-04 03:00,0.89,Boa,True
2025-07-04,2905701,29,BA,gravatá,24.0,84.0,1.0,5,CO,Monóxido de Carbono,2025-07-04 04:00,0.89,Boa,True
2025-07-04,2905701,29,BA,gravatá,24.0,84.0,1.0,5,CO,Monóxido de Carbono,2025-07-04 05:00,0.89,Boa,True
2025-07-04,2905701,29,BA,gravatá,24.0,84.0,1.0,5,CO,Monóxido de Carbono,2025-07-04 06:00,0.89,Boa,True
2025-07-04,2905701,29,BA,gravatá,24.0,84.0,1.0,5,CO,Monóxido de Carbono,2025-07-04 07:00,0.89,Boa,True
2025-07-04,2905701,29,BA,gravatá,24.0,84.0,1.0,5,CO,Monóxido de Carbono,2025-07-04 08:00,0.89,Boa,True
2025-07-04,2905701,29,BA,gravatá,24.0,84.0,1.0,5,CO,Monóxido de Carbono,2025-07-04 09:00,0.89,Boa,True
2025-07-04,2905701,29,BA,gravatá,24.0,84.0,1.0,5,CO,Monóxido de Carbono,2025-07-04 10:00,0.89,Boa,True
2025-07-04,2905701,29,BA,gravatá,24.0,84.0,1.0,5,CO,Monóxido de Carbono,2025-07-04 11:00,0.89,Boa,True
