dt_coleta,id_municipio,id_uf,uf,estacao,temperatura,umidade,vento,id_poluente,nome_poluente,descricao_poluente,data_hora,indice_qualidade_ar,classificacao,dado_validado
2025-07-05,2910057,29,BA,concordia,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 18:00,4.72,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 19:00,5.02,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 20:00,5.02,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 21:00,5.02,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 22:00,5.02,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-04 23:00,5.02,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-05 00:00,5.02,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-05 01:00,5.02,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-05 02:00,5.02,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-05 03:00,5.02,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,18,NO₂,Dióxido de Nitrogênio,2025-07-05 04:00,5.02,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-04 05:00,1.8,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-04 06:00,2.0,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-04 07:00,2.2,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-04 08:00,2.4,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-04 09:00,2.6,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-04 10:00,2.8,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-04 11:00,2.8,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-04 12:00,3.0,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-04 13:00,3.0,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-04 14:00,2.8,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-04 15:00,2.8,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-04 16:00,2.8,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-04 17:00,2.6,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-04 18:00,2.6,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-04 19:00,2.6,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-04 20:00,2.4,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-04 21:00,2.2,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-04 22:00,2.2,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-04 23:00,2.2,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-05 00:00,2.0,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-05 01:00,1.8,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-05 02:00,1.6,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-05 03:00,1.6,Boa,True
2025-07-05,2910057,29,BA,concordia,,,1.0,23,SO₂,Dióxido de Enxofre,2025-07-05 04:00,1.4,Boa,True
